playername,skgoals,skassists,glsaves,glgaa,skhits,skpim,skgiveaways,sktakeaways,skpasses,skpassattempts,skinterceptions,skppg,skshg,skgwg,ratingOffense,ratingDefense,ratingTeamplay,position,skplusmin,skpkclearzone,skpenaltiesdrawn,skfow,skfol,skpossession,skbs,skdeflections,glshots,glsavepct,glbrkshots,glbrksaves,gldsaves
SweetTooth456,3,2,0,0.00,4,0,7,1,24,28,5,0,0,0,100.00,80.00,100.00,center,5,0,1,26,13,363,2,0,0,0.00,0,0,0
Tiger_Fan-1984,0,0,6,1.00,0,0,0,0,0,0,0,0,0,0,55.00,65.00,60.00,goalie,0,0,0,0,0,0,0,0,7,0.86,0,0,0
Napppy91,0,2,0,0.00,4,0,6,1,16,20,4,0,0,1,90.00,80.00,70.00,defenseMen,5,0,0,0,0,226,1,0,0,0.00,0,0,0
xHUM4NAB5TR4CTx,1,3,0,0.00,3,2,4,4,25,26,5,0,0,0,100.00,80.00,65.00,defenseMen,5,0,1,0,0,182,1,0,0,0.00,0,0,0
billyG_O_A_T,2,3,0,0.00,3,0,11,2,14,15,3,1,0,0,100.00,65.00,50.00,rightWing,5,0,3,0,0,283,0,5,0,0.00,0,0,0
theMountain38,1,4,0,0.00,1,0,19,1,14,23,6,0,0,0,100.00,70.00,60.00,leftWing,5,0,0,0,0,197,1,0,0,0.00,0,0,0
