playername,skgoals,skassists,glsaves,glgaa,skhits,skpim,skgiveaways,sktakeaways,skpasses,skpassattempts,skinterceptions,skppg,skshg,skgwg,ratingOffense,ratingDefense,ratingTeamplay,position,skplusmin,skpkclearzone,skpenaltiesdrawn,skfow,skfol,skpossession,skbs,skdeflections,glshots,glsavepct,glbrkshots,glbrksaves,gldsaves
tints24,1,0,0,0.00,1,4,4,5,18,22,8,0,0,0,85.00,85.00,40.00,rightWing,1,0,0,1,0,276,0,1,0,0.00,0,0,0
gaviniesta,0,1,0,0.00,0,2,6,1,27,33,8,0,0,0,80.00,100.00,40.00,defenseMen,1,3,0,0,0,215,3,0,0,0.00,0,0,0
awm_91,0,2,0,0.00,8,0,13,2,36,44,9,0,0,0,90.00,85.00,85.00,leftWing,1,4,0,0,0,388,2,0,0,0.00,0,0,0
TheDirtyRandy94,0,0,0,0.00,9,0,3,1,17,22,11,0,0,0,65.00,90.00,85.00,defenseMen,1,0,1,0,0,178,1,0,0,0.00,0,0,0
SpongieScrub,0,0,12,1.52,0,0,0,0,0,0,0,0,0,0,75.00,70.00,60.00,goalie,0,0,0,0,0,0,0,0,14,0.86,0,0,0
NotDobe,2,1,0,0.00,0,2,7,4,27,30,4,1,0,1,100.00,90.00,55.00,center,1,0,0,9,20,261,1,0,0,0.00,0,0,0,0.89,1,1,1
